名称,省
广州健民医药连锁有限公司东山分店,广东
广东大参林连锁药店有限公司711店广州黄埔丰乐中,广东
广州市逸仙大药房有限公司,广东
广州市中二大药房有限公司,广东
中山三院便民大药房,广东
广州市博惠大药房有限公司,广东
广州市红会便民药房,广东
君济堂药店,广东
大参林1622分店（棠德西路）,广东
广东金康药房连锁有限公司惠恩店,广东
广东省海王星辰黄埔百佳店,广东
佛山市普天大药房健康广场 ,广东
普天平价大药房（文华北路店）,广东
南海区中医院院内药房,广东
佛山市易德康医疗器械有限公司,广东
新乡市正泰医药连锁有限责任公司十六部,河南
新乡市正泰医药连锁有限责任公司二十部,河南
焦作市国控大药房二十店,河南
焦作市国控大药房二十三店,河南
焦作蓝十字医药连锁有限公司铜马店,河南
焦作蓝十字医药连锁有限公司焦南店,河南
武汉市武昌区好药师粮道街大药房,湖北
隆泰大药房古田五路店,湖北
湖北诚民天济建四店,湖北
湖北诚民天济建三店,湖北
武汉市心连心药房有限责任公司普爱店,湖北
武汉普安医药有限公司普安药房体育馆店,湖北
湖北中联大药房连锁有限公司同济医大分店,湖北
湖北诚民天济武胜店,湖北
湖北长江大药房连锁有限公司武汉彭刘杨路店,湖北
湖北公司武汉司门口店,湖北
湖北省湖北公司武汉沌口宁康路店,湖北
湖北公司武汉简易店,湖北
湖北公司武汉沌口金色港湾店,湖北
湖北公司武汉得胜桥店,湖北
千金大药房韶山路店,湖南
湖南省梓园路连锁店,湖南
湖南益丰湘潭基建营分店,湖南
湖南公司湘潭中心医院分店,湖南
甘肃省众友连锁第125分店,甘肃
山东远东医药有限公司潍坊平民大药房二店,山东
山东省淄博天和堂景泰成医药连锁有限公司健康药店,山东
淄博天和堂景泰成医药连锁有限公司颜神药店,山东
山东省舜都店,山东
山东立健医药城连锁有限公司烟台宏达店,山东
山东立健医药城连锁有限公司烟台龙口大药房,山东
山东立健医药城连锁有限公司烟台初家店,山东
潍坊金通大药店连锁有限公司学院店,山东
潍坊金通大药店连锁有限公司税校店,山东
山东远东医药有限公司潍坊平民大药房七店,山东
潍坊金通医药有限公司金通大药店高新店,山东
聊城市利民大药店利民大药店,山东
聊城市五洲大药店第三连锁店,山东
聊城市利民大药店聊大连锁店,山东
聊城市五洲大药房鲁化店,山东
山东立健医药城连锁有限公司烟台芝罘屯店,山东
青岛医保药品城有限公司市南店,山东
淄博天和堂景泰成白塔药店,山东
济南漱玉平民大药房有限公司王舍人店,山东
济南漱玉平民大药房有限公司东关店,山东
青岛医保药品城有限公司伊春路分公司,山东
山东立健医药城连锁有限公司烟台彩云城店,山东
山东省山东立健医药城连锁有限公司潍坊和平路店,山东
淄博天和堂景泰成医药连锁有限公司金晶路药店,山东
山东省诸城远东平民大药房三店,山东
山东省诸城远东平民大药房二店,山东
潍坊金通医药有限公司寿光正阳店,山东
青岛众生大药房连锁有限公司佳木斯路店,山东
寿光圣达康缘医药连锁有限公司第三十三药店,山东
潍坊金通医药有限公司金通大药店滨海店,山东
山东省济南漱玉平民大药房有限公司历山路店,山东
青岛同方连锁城阳长城路店,山东
济南漱玉平民大药房有限公司师范路二店,山东
青岛众生大药房连锁有限公司开发区黄浦江路店,山东
潍坊金通大药店连锁有限公司青州东阳店,山东
潍坊金通医药有限公司金通大药店青州豪庭店,山东
山东立健医药城连锁有限公司烟台福山南苑街店,山东
山东立健医药城连锁有限公司龙口德泰大药房,山东
山东立健医药城连锁有限公司烟台蓬莱南关路店,山东
山东立健医药城连锁有限公司烟台百合园店,山东
山东省淄博天和堂景泰成医药连锁有限公司英雄路药店,山东
山东省淄博天和堂景泰成医药连锁有限公司中心药店,山东
山东立健医药城连锁有限公司威海文化路大药店,山东
山东省海王星辰华兴店,山东
山东省济南漱玉平民大药房有限公司文化西路二店,山东
山东立健医药城连锁有限公司烟台嵩山路店,山东
山东立健医药城连锁有限公司烟台惠安店,山东
山东立健医药城连锁有限公司蓬莱富民路店,山东
青岛医保药品城海尔路分公司,山东
青岛医保药品城城阳分公司,山东
山东省济南漱玉平民大药房有限公司济钢店,山东
山东省漱玉平民文化西路金光店,山东
山东远东医药有限公司潍坊平民大药房安丘店,山东
山东远东医药有限公司潍坊平民大药房昌邑店,山东
燕喜堂连锁乳山财富广场店,山东
潍坊金通医药有限公司金通大药店坊子凤凰店,山东
莱芜市广电大药房福莱店,山东
莱芜市广电大药房花园店,山东
国药控股国大药房山东临沂东方红店,山东
国药控股国大药房山东临沂新特药店,山东
青岛百洋药房青岛市立医院东院店,山东
青岛康杰大药房珠海路店,山东
青岛康杰大药房中心医院店,山东
青岛海昌医疗器械市北分公司,山东
青岛百姓阳光大药房（闽江路）,山东
青岛国风大药房（湛山药店）,山东
青岛海王星辰健康药房（南京路店）,山东
青岛利民药房（广州北路）,山东
青岛利民药房（南坦小区北）,山东
青岛保康药品超市（健民药店）,山东
青岛济群大药房,山东
青岛国泰大药房（扬州路）,山东
青岛国风药业（威海西路）,山东
青岛国风药业（莱西大药房）,山东
日照润生堂药店连锁第9分店,山东
日照润生堂药店连锁第8分店,山东
日照润生堂药店连锁第6分店,山东
日照润生堂药店连锁港口医院分店,山东
青岛春润堂大药房,山东
青岛众生大药房连锁有限公司利客来店,山东
青岛益康大药房,山东
青岛美康大药房,山东
青岛百洋药房青岛市立医院西院店,山东
燕喜堂连锁海阳天创二店（156店）,山东
燕喜堂连锁文登天福1店（67店）,山东
山东省燕喜堂连锁北竹岛店（22店）,山东
山东省燕喜堂连锁乳山车站店（60店）,山东
山东省燕喜堂连锁乳山金丰广场店（56店）,山东
山东省燕喜堂连锁皇冠店（13店）,山东
燕喜堂连锁荣成石岛3店（312店）,山东
燕喜堂连锁文登中心医院店（364店）,山东
燕喜堂连锁荣成石岛斥山3店,山东
燕喜堂连锁蒿泊3店（221店）,山东
上海淮西大药房,上海
上海复美大药房（南陈店）,上海
新疆维吾尔自治区济康大药房幸福路店,新疆
国药控股国大药房新疆新特药业连锁有限责任公司西站二分店,新疆
国药控股国大药房新疆新特药业连锁有限责任公司西站分店,新疆
浙江湖州华圣医药零售连锁有限公司华圣大药房,浙江
湖州老百姓红旗路店,浙江
